user_id,session_id,age,gender,location,product_id,category,price,discount,final_price,quantity,payment_method,is_returned,rating,time_on_site_min,clicks,purchase_made
a6467223-85f0-42c3-a248-265caf31f59f,b4b1ddae-5e8f-4bcd-91dd-1a38106e6803,56,Male,Lake James,1011,Clothing,5032.54,0.05,4780.91,3,Credit Card,FALSE,5,26.13,10,1
a6b71ae5-ca91-42a8-874a-5a33e26c9ed6,ce34e7d4-a995-41f3-b776-59ca26b4d9aa,46,Female,Schroederville,1002,Electronics,4126.07,0.29,2929.51,1,Net Banking,FALSE,3,1.97,18,0
3315d6e9-e3cb-4097-80f4-cf12e0176175,a60b779e-347c-4b87-bd6b-d0fb506d5370,32,Male,Lake Anthonyborough,1017,Home Decor,9534.9,0.11,8486.06,2,Credit Card,FALSE,2,27.47,10,1
4925fddd-9961-462d-a4df-616917c9cb8a,2957cb15-ff0c-4da2-a6e5-11dcea659559,60,Other,New Jacobbury,1039,Beauty,5273.14,0.45,2900.23,2,COD,FALSE,2,4.43,5,0
19c3c996-35e3-4e68-b38b-d2d8c54666a7,af5184df-23ce-487b-a0ce-f22f22431811,25,Male,Jasminehaven,1020,Electronics,2269.26,0.39,1384.25,1,COD,FALSE,3,19.73,17,1
7277a676-7f2d-473a-9443-7380788f2bb6,932c00ec-4357-4c55-aae1-1f5119e94ac0,38,Male,Lake Maryview,1014,Home Decor,4643.74,0.35,3018.43,3,Credit Card,FALSE,2,8.25,13,0
95ae629f-460a-496d-b4e9-2daa45763ea3,85245bf8-084e-4913-bcc3-fdbd2e8c45f0,56,Male,Joshuatown,1096,Beauty,9201.94,0.31,6349.34,2,Credit Card,FALSE,3,25.26,17,1
a61b1265-684b-4d31-84f5-dbb696f0fb00,c1f6cb90-92d6-497b-86eb-b6080e54ab91,36,Male,Lake Edwardshire,1098,Books,1843.35,0.43,1050.71,4,Credit Card,FALSE,1,15.86,9,1
fbbf97d7-6821-4f73-9b00-d62bbc8dd29d,37bac069-0d5f-474c-9454-86dd7c5f3949,40,Other,Lake Melissaborough,1025,Beauty,2218.17,0.11,1974.17,2,COD,FALSE,4,4.92,12,1
d97b5f51-c080-4bb6-9124-30f30cb05b40,78533bb6-1355-4c2d-9403-f476540436e0,28,Other,Christopherborough,1007,Clothing,228.99,0.44,128.23,3,Debit Card,FALSE,4,17.56,14,1
693105a9-e0e8-41cd-9227-73ed1c88dbf2,4f069b47-df1d-484a-9c59-96f5733f5311,28,Female,Hansonberg,1099,Clothing,240.48,0.39,146.69,2,Credit Card,FALSE,5,12.83,14,1
0e181a34-423c-497a-b0a9-addd6a9d4f6e,b052d48f-2d1e-42e2-af42-95c9c4d05a1d,41,Other,Pruittburgh,1093,Books,8310.98,0.37,5235.92,1,Net Banking,FALSE,2,20.18,8,1
b65e360e-568d-4460-a6c6-315d8414414b,5e2fb9f6-3f35-4089-9ee6-4f1ba0c63c75,53,Other,Wongtown,1086,Electronics,7348.01,0.28,5290.57,2,COD,FALSE,5,26.58,5,1
b615a73b-1a20-45c1-801c-0635a1e37154,d4b3a155-1eb5-4fec-bde8-22e1010eee37,57,Female,East Donna,1041,Home Decor,3614.91,0.12,3181.12,2,UPI,FALSE,1,12.87,19,1
7ca1b738-310d-442a-928e-22673751730a,eeb343de-c96e-4cd2-9225-1552873a2812,41,Other,Jasonview,1043,Beauty,7013.28,0.21,5540.49,3,UPI,FALSE,4,9.41,14,0
0c8a1bdd-e231-4489-abe7-afcb4c92c587,46043f17-e177-4047-b20c-13539367f0b5,20,Male,Lake Davidside,1013,Clothing,4012.54,0.4,2407.52,1,Net Banking,TRUE,1,1.42,9,1
52b983a8-ba9d-49d7-81ff-a514f796c400,b4ccf352-7d88-48fc-bff8-9f743122afb5,39,Male,Kellychester,1077,Electronics,9533.68,0.02,9343.01,3,Debit Card,FALSE,1,17.67,7,0
b249760c-65b4-4ecb-bfd4-aa4d15b929d8,56bae87b-8b96-4682-b9b0-eeea41263d8a,19,Female,West Sharon,1001,Books,9673.82,0.39,5901.03,2,Credit Card,FALSE,2,12.67,8,1
f96f4ac0-aa37-4240-bc63-56088eff1307,19029395-6254-4a51-a881-156c320fceee,41,Female,North Susantown,1036,Clothing,3988.66,0.12,3510.02,4,COD,FALSE,1,11.86,14,1
957fa093-980c-4135-9917-fbc2362ef2c7,736d1925-e233-46d6-969a-d5a26cac020c,61,Female,Hollyfurt,1068,Books,8556.8,0.07,7957.82,2,Credit Card,FALSE,4,6.31,14,1
531df926-7e1a-4528-939d-7ff76133492a,16ef9f21-4351-48a8-8b0d-df5fd89d2def,47,Male,Alexanderstad,1037,Beauty,7753.58,0.06,7288.37,3,COD,FALSE,5,13.47,11,1
ff64aaf1-ea55-4972-832c-675e1ced127c,45c6f0f3-d57c-4140-bd19-f9650926e4d5,55,Other,Lake Teresafort,1040,Home Decor,3169,0.01,3137.31,4,UPI,FALSE,4,29.55,14,1
64ee4b18-0663-4c6d-9d23-3f5c4e9e6d72,b7e97d58-d66a-401b-8285-f6eceb880dca,19,Male,Nancystad,1061,Clothing,2397.19,0.26,1773.92,3,Credit Card,FALSE,2,9.63,8,1
98cb60b7-104e-426f-9657-2f6f16db39a4,67cd2653-ff30-487f-ba07-71bfc7b7dc75,38,Female,Paultown,1059,Clothing,4636.52,0.11,4126.5,3,Net Banking,FALSE,4,18.39,3,1
5c084c0e-b84a-4656-af9f-798f481665cc,8c0fc4ec-cf4a-4ac2-805a-163d4b186bd8,50,Other,Carrland,1013,Beauty,7835.35,0.49,3996.03,1,Debit Card,TRUE,3,23.52,18,0
